z,mu
0.00122,28.9987
0.00122,29.0559
0.00256,30.7233
0.00256,30.7449
0.00299,30.7757
0.0035,30.7946
0.00478,30.4604
0.00478,30.5528
0.00478,30.4013
0.00478,30.5107
0.00357,31.5011
0.00369,31.7933
0.00369,31.4967
0.00462,31.6969
0.00366,30.9999
0.00435,31.3933
0.00435,31.3779
0.00293,31.499
0.00293,31.5611
0.00465,31.9309
0.00465,32.033
0.0046,31.2476
0.0046,31.1331
0.0046,31.6525
0.0046,31.2234
0.0046,31.34
0.0046,31.7635
0.00515,31.4473
0.00515,31.539
0.00458,31.6512
0.00701,31.7282
0.00489,31.9117
0.00489,31.8985
0.0066,31.6799
0.0066,31.6292
0.00505,31.7403
0.0054,32.1822
0.00603,32.4685
0.00596,31.9404
0.00596,32.0666
0.00596,31.9102
0.00551,30.9079
0.00551,31.1857
0.00635,32.0667
0.00635,32.0023
0.00635,32.0999
0.00635,32.0337
0.00552,32.0754
0.00552,32.0843
0.00552,32.0203
0.00567,32.8333
0.00548,32.4001
0.0055,32.4608
0.0055,32.4338
0.00801,31.7321
0.00594,31.2217
0.00592,32.3593
0.00812,31.9733
0.00727,32.1951
0.00727,32.1729
0.00727,32.2048
0.00611,32.4405
0.00703,32.3193
0.00703,32.3327
0.00703,32.3221
0.00668,32.4423
0.00668,32.4642
0.00664,32.7943
0.00664,32.7423
0.00664,32.7685
0.00722,32.3312
0.00722,32.2998
0.00769,32.6418
0.00769,32.7164
0.00769,32.6151
0.00788,32.7092
0.00801,32.3711
0.00801,32.7434
0.00801,32.6707
0.00867,32.4455
0.0078,32.484
0.00758,33.2138
0.00775,32.521
0.00775,32.6922
0.00796,32.6928
0.00861,32.852
0.00773,32.7527
0.00812,32.7223
0.00841,32.3744
0.00841,32.3945
0.00841,32.335
0.00931,32.4198
0.00837,32.8616
0.00853,32.799
0.00853,32.7498
0.00966,32.8914
0.00966,32.8973
0.00966,32.9159
0.01029,32.3353
0.00998,33.0399
0.00998,33.2135
0.00998,33.2309
0.00998,33.2469
0.01051,32.901
0.01051,32.8654
0.00957,32.8029
0.00957,32.9165
0.009,33.4753
0.0105,32.6457
0.0105,32.7458
0.0105,32.9015
0.01042,32.7794
0.00979,32.9182
0.00979,32.9674
0.00921,33.3378
0.00921,33.2253
0.01042,33.2788
0.0098,33.1236
0.00958,33.0869
0.01049,33.3806
0.01049,33.2931
0.01048,33.1081
0.00993,33.0683
0.00993,33.1809
0.0104,33.5709
0.01238,33.7337
0.01238,33.6369
0.01096,33.8347
0.01096,33.4336
0.01096,33.4947
0.01189,33.5833
0.01168,33.4974
0.01275,33.8783
0.01244,33.7023
0.01142,33.7403
0.0126,33.8286
0.0122,33.708
0.0122,33.7246
0.01247,33.5874
0.01247,33.5178
0.01407,33.7492
0.01306,33.6365
0.01306,33.5028
0.01309,33.7355
0.01309,33.7607
0.01222,33.5752
0.01222,33.5673
0.01334,33.52
0.01334,33.4717
0.01288,33.9682
0.01288,33.9846
0.01288,33.9247
0.0136,33.797
0.0136,33.7683
0.0136,33.772
0.01314,33.7649
0.01361,33.6741
0.01434,33.6968
0.014,33.8053
0.014,33.6651
0.01406,33.8206
0.01424,33.8444
0.01386,34.0187
0.01386,34.0249
0.01509,34.3366
0.01509,34.1781
0.01509,34.252
0.01416,33.9078
0.01504,34.1727
0.01457,33.7526
0.0142,33.8826
0.01422,33.9253
0.01503,33.7553
0.01503,33.7189
0.01448,33.8916
0.01429,33.7894
0.01472,34.0109
0.01449,34.1902
0.01402,33.8524
0.01483,33.974
0.01483,33.9261
0.01509,33.8877
0.01495,34.1793
0.01529,33.7706
0.01522,34.0334
0.01518,34.3426
0.01566,34.0744
0.01572,34.0331
0.01493,34.2732
0.01534,34.2581
0.01534,34.2112
0.01534,33.9994
0.01534,33.8852
0.01592,33.7902
0.01592,33.8072
0.01506,34.1732
0.01506,34.1302
0.01539,34.3317
0.01527,34.1657
0.01629,33.9986
0.01629,34.0697
0.01556,33.9926
0.01556,33.9004
0.01579,34.3916
0.01619,34.0287
0.01579,34.1663
0.01579,34.1323
0.01538,34.0329
0.01636,34.1062
0.01619,34.4137
0.01595,33.9999
0.0157,34.1608
0.01612,33.9726
0.01581,34.2793
0.01633,34.3408
0.0163,33.8985
0.01632,34.1679
0.01646,34.4649
0.01646,34.5341
0.01601,33.9673
0.0161,33.841
0.0161,33.8975
0.01671,34.4894
0.01678,34.3409
0.01673,34.0755
0.01661,34.1973
0.01658,34.022
0.01658,34.2003
0.01697,34.6084
0.01649,34.1436
0.01649,34.1517
0.0168,34.4009
0.0168,34.5101
0.01694,34.361
0.01709,34.31
0.01709,34.2669
0.01646,33.7799
0.01774,34.3228
0.01774,34.3133
0.01718,34.1465
0.01748,34.2221
0.01734,34.3364
0.01734,34.2464
0.01739,34.2939
0.01739,34.2418
0.01765,34.2975
0.01791,34.2661
0.01805,34.6078
0.01918,34.9792
0.01791,34.2005
0.01796,34.4393
0.01925,34.492
0.01925,34.576
0.01851,34.6171
0.01851,34.5716
0.01902,34.6066
0.01822,34.5466
0.01822,34.4866
0.01839,34.4286
0.01955,34.7747
0.01955,34.8085
0.01835,34.757
0.01835,34.7394
0.01992,34.6865
0.01855,34.3648
0.01948,34.6854
0.01976,34.5121
0.02033,34.5072
0.02033,34.702
0.01926,34.5995
0.01926,34.5012
0.01926,34.576
0.01926,34.6482
0.0187,34.9988
0.02019,34.8165
0.02019,34.5749
0.02066,34.5709
0.02066,34.5656
0.02066,34.4931
0.02121,34.6552
0.01983,35.1263
0.02039,34.556
0.02061,34.4168
0.02014,34.5647
0.02079,34.4863
0.02087,34.674
0.02087,34.6349
0.02046,34.8118
0.02001,34.6956
0.01993,34.6693
0.02093,34.375
0.02207,34.8194
0.02146,35.118
0.02146,35.2056
0.02187,34.7561
0.02187,34.7344
0.02187,34.7419
0.01978,34.7627
0.02179,34.3468
0.02017,34.5899
0.02104,34.6114
0.02157,34.7709
0.0214,34.7583
0.0214,34.7742
0.02263,34.8589
0.02245,34.9654
0.02193,34.6739
0.02209,34.7477
0.02202,34.8847
0.02238,35.0481
0.02292,35.0136
0.02161,34.8059
0.02161,34.8234
0.02257,34.9245
0.02214,34.7727
0.02214,34.8704
0.02217,34.7814
0.02334,34.7714
0.02334,34.8603
0.02181,34.759
0.02181,34.7997
0.02253,35.0392
0.02253,34.7306
0.02382,34.8438
0.02226,34.8693
0.02224,34.6849
0.02368,35.2685
0.02374,34.8584
0.0226,34.9992
0.0226,34.9712
0.0235,34.985
0.02324,34.7666
0.02317,35.0225
0.02262,34.883
0.02287,34.9168
0.02222,35.0537
0.02295,34.6478
0.02295,34.4301
0.02328,34.9851
0.02328,35.0081
0.02328,34.9783
0.02315,34.8582
0.02315,34.8582
0.02309,34.8331
0.02405,34.8391
0.0245,34.9998
0.0228,35.0406
0.0228,34.9509
0.02331,34.5715
0.0222,34.9543
0.02422,34.943
0.02307,34.9949
0.02396,34.889
0.02296,34.994
0.02454,34.8993
0.02358,35.1018
0.02436,35.1049
0.02436,34.4711
0.02421,34.8782
0.0242,34.9421
0.0242,35.084
0.0245,35.1803
0.02425,35.0771
0.02395,34.9871
0.02395,34.953
0.02349,35.2317
0.02414,35.0102
0.02476,35.008
0.02476,35.0746
0.02476,34.9493
